latitude,longitude,bname,ename,desc,link
42.9998354,-81.27813773,AC,AC-NE,RN,AC-NE.png
42.99953974,-81.27869234,AC,AC-NW,,AC-NW.png
42.99873116,-81.27882751,AC,AC-SW,,AC-SW.png
42.99897899,-81.27766416,AC,AC-SE,,AC-SE.png
43.00085834,-81.27944242,OHALL,OHALL-N,RN,OHALL-N.png
43.00052437,-81.27940662,OHALL,OHALL-S,RN,OHALL-S.png
43.0006094,-81.2775771,CHILDCARECENTRE,CHILDCARECENTRE,,CHILDCARECENTRE.png
43.00000056,-81.27685516,PERTH,PERTH,,PERTH.png
43.00042764,-81.27584698,LONDONHALL,LONDONHALL,,LONDONHALL.png
43.00109426,-81.27584546,ESSEXHALL,ESSEXHALL,,ESSEXHALL.png
43.00110043,-81.27355232,ALUMNISTAD,ALUMNISTAD,,ALUMNISTAD.png
43.00344524,-81.27523253,REC,REC-N,,REC-N.png
43.00273623,-81.27518014,REC,REC-S,,REC-S.jng
43.00229815,-81.27779476,EC,EC-SE,,EC-SE.jpg
43.00234765,-81.27824245,EC,EC-SW,,EC-SW.jpg
43.0026528,-81.27839011,EC,EC-NW,,EC-NW.jpg
43.00285546,-81.27783162,EC,EC-NE,,EC-NE.jpg
43.00420642,-81.27729083,IVEY,IVEY-S,RN,IVEY-S.png
43.00490921,-81.27769596,IVEY,IVEY-N,RN,IVEY-N.png
43.00378375,-81.2764692,ACEB,ACEB-S,,ACEB-S.png
43.00428522,-81.27616849,ACEB,ACEB-N,,ACEB-N.png
43.00421003,-81.27599916,BLWT,BLWT-N,,BLWT-N.png
43.00384497,-81.27603731,BLWT,BLWT-S,,BLWT-S.png
43.00424554,-81.27519551,TEB,TEB,,TEB.png
43.00565449,-81.2752637,SEB,SEB-NE,RN,SEB-NE.png
43.00567845,-81.27544285,SEB,SEB-NW,,SEB-NW.png
43.00511148,-81.27531674,SEB,SEB-S,,SEB-S.png
43.00625007,-81.27603477,LAW,LAW-S,RN,LAW-S.png
43.00672444,-81.27606274,LAW,LAW-N,RN,LAW-N.png
43.00601082,-81.27486924,AH,AH,,AH.png
43.00543568,-81.27258563,HSB,HSB-E,,HSB-E.png
43.00545007,-81.27340601,HSB,HSB-W,,HSB-W.png
43.00513156,-81.27276083,HSB,HSB-S,,HSB-S.png
43.00605504,-81.27209507,FIMS,FIMS-NE,,FIMS-NE.png
43.00607786,-81.27303684,FIMS,FIMS-NW,,FIMS-NW.png
43.00588043,-81.27289206,FIMS,FIMS-SW,,FIMS-SW.png
43.00569173,-81.27223696,FIMS,FIMS-SE,,FIMS-SE.png
43.00598656,-81.27252971,FIMS,FIMS-C,,FIMS-C.png
43.0077195,-81.27040825,TC,TC-E,RN,TC-E.png
43.00772756,-81.27061825,TC,TC-W,,TC-W.png
43.0066738,-81.27081621,MB,MB-E,RN,MB-E.png
43.006646,-81.27128258,MB,MB-W,,MB-W.png
43.00766965,-81.27242932,IGAB,IGAB,,IGAB.png
43.00723462,-81.27327171,AHB,AHB,,AHB.png
43.00654574,-81.27454886,TH,TH-S,,TH-S.png
43.00718329,-81.27438239,TH,TH-N,RN,TH-N.png
43.00740362,-81.27432411,SH,SH-S,RN,SH-S.png
43.00802523,-81.27427147,SH,SH-N,,SH-N.png
43.00702369,-81.27388797,3M,3M,,3M.png
43.00821716,-81.27603592,WELDON,WELDON,RN,WELDON.png
43.00857879,-81.27594208,UCC,UCC-E,RN,UCC-E.png
43.00837782,-81.27649297,UCC,UCC-WSS,,UCC-WSS.png
43.00807642,-81.27655837,WSS,WSS,RN,WSS.png
43.00899963,-81.2761834,UCC,UCC-N,,UCC-N.png
43.00880649,-81.27688362,UCC,UCC-W,,UCC-W.png
43.00965946,-81.2759016,SSC,SSC-W,,SSC-W.png
43.00932787,-81.27468226,SSC,SSC-E,RN,SSC-E.png
43.00823546,-81.27420325,LH,LH-S,,LH-S.png
43.00829954,-81.27397279,LH,LH-E,RN,LH-E.png
43.00894023,-81.27376026,STH,STH-N,,STH-N.png
43.00870454,-81.27385095,STH,STH-S,,STH-S.png
43.00881638,-81.27309378,UC,UC-N,,UC-N.png
43.00819123,-81.27365011,UC,UC-S,,UC-S.png
43.00868489,-81.26913047,DEL,DEL,RN,DEL.png
43.00906058,-81.270226,MC,MC-S,,MC-S.png
43.00968023,-81.27022148,MC,MC-N,,MC-N.png
43.01022111,-81.27157608,COLLIP,COLLIP,,COLLIP.png
43.01002089,-81.27191861,WSC,WSC-W,RN,WSC-W.png
43.00979229,-81.27133433,WSC,WSC-S,,WSC-S.png
43.01010439,-81.27274306,PAB,PAB-N,RN,PAB-N.png
43.00985044,-81.27307257,PAB,PAB-W,RN,PAB-W.png
43.01023924,-81.26985844,NCB,NCB,RN,NCB.png
43.01058488,-81.27031038,VAC,VAC,,VAC.png
43.01158916,-81.27153369,WIRB,WIRB-W,,WIRB-W.png
43.01158524,-81.27081236,WIRB,WIRB-E,,WIRB-E.png
43.01181391,-81.2725283,CHEM,CHEM,,CHEM.png
43.01180131,-81.2734102,RRI,RRI-E,,RRI-E.png
43.01146303,-81.2739423,RRI,RRI-W,,RRI-W.png
43.01038848,-81.27290793,NSC,NSC-E,,NSC-E.png
43.01034827,-81.27335325,NSC,NSC-W,,NSC-W.png
43.01122597,-81.27511266,DSB,DSB-N,,DSB-N.png
43.01109261,-81.27436701,DSB,DSB-E,,DSB-E.png
43.01102827,-81.27465402,DSB,DSB-W,,DSB-W.png
43.00995418,-81.274839,CLINICALSKILLS,CLINICALSKILLS,,CLINICALSKILLS.png
43.01045885,-81.27505709,MSB,MSB-N,RN,MSB-N.png
43.01013929,-81.27435402,MSB,MSB-S,,MSB-S.png
43.01085333,-81.27622093,SDRI,SDRI,RN,SDRI.png
43.01073283,-81.27774546,WSSB,WSSB-E,,WSSB-E.png
43.01067144,-81.2789699,WSSB,WSSB-W,,WSSB-W.png
43.01075141,-81.2799146,GSB,GSB,,GSB.png
43.01032922,-81.2798839,AFAR,AFAR,,AFAR.png
43.01139122,-81.27894628,SMH,SMH,RN,SMH.png
43.01335612,-81.27742944,LAMB,LAMB,,LAMB.png
43.0148101,-81.28333811,WM,WM-N,,WM-N.png
43.01447351,-81.28326754,WM,WM-SE,,WM-SE.png
43.01446285,-81.28353852,WM,WM-SW,,WM-SW.png
43.01421871,-81.28098058,MOGENSON,MOGENSON-N,,MOGENSON-N.png
43.01412551,-81.28089651,MOGENSON,MOGENSON-S,,MOGENSON-S.png
43.0156201,-81.27836674,NRC,NRC,,NRC.png
43.01658549,-81.27900959,SCTC,SCTC,,SCTC.png
43.01520759,-81.2737238,WESTMINISTER,WESTMINISTER,RN,WESTMINISTER.png
43.01477384,-81.27040434,PHFM,PHFM,,PHFM.png
43.00839056,-81.2651466,ELGIN,ELGIN-N,RN,ELGIN-N.png
43.00819536,-81.26487326,ELGIN,ELGIN-S,RN,ELGIN-S.png
43.00949898,-81.26202752,BMO,BMO,RN,BMO.png